Name,Latitude,Longitude,,keyword,
사천IC,35.11808833,128.090858,,,
산곡JC,37.48206435,127.241965,,,
산내JC,36.28199669,127.4485347,,,
산단IC,37.82770427,126.7769669,,,
산본IC,37.37577372,126.9279183,,,
산월IC,35.20313328,126.8393974,,,
산인JC,35.27236388,128.4807087,,,
산청IC,35.4272178,127.8598528,,,
삼락IC,35.19337488,128.9820763,,,
삼랑진IC,35.39964047,128.8220355,,,
삼례IC,35.92489142,127.0787952,,,
삼막IC,37.42666345,126.9132512,,,
삼성Hi,37.02486262,127.4829059,,,
삼척IC,37.4507713,129.1293357,,,
상관IC,35.75834583,127.2189698,,,
상동IC,35.318621,128.943977,,,
상매JC,35.89206059,128.7018264,,,
상일IC,37.54886622,127.179468,,,
상주IC,36.42306542,128.2131802,,,
상주JC,36.37518743,128.2686959,,,
상주JCT,36.36609378,128.2391293,,,
새말IC,37.44665947,128.0671711,,,
생초IC,35.48155373,127.8248137,,,
서공주IC,36.45533067,127.0584455,,,
서공주JC,36.48555001,127.0624946,,,
서광산IC,35.11857034,126.7325783,,,
서광주IC,35.18481474,126.8822386,,,
서군위IC,36.24637317,128.4799015,,,
서김제IC,35.83444697,126.8394852,,,
서김포IC,37.6640232,126.6563098,,,
서김해IC,35.22075442,128.8456448,,,
서남원IC,35.3611304,127.3375766,,,
서논산IC,36.22459807,127.0530235,,,
서대구IC,35.87789382,128.5310499,,,
서대구TG,35.88453639,128.5260795,,,
서대전IC,36.291751,127.3274743,,,
서대전JC,36.29413572,127.3160179,,,
서마산IC,35.23514134,128.5622313,,,
서변IC,35.93297349,128.59812,,,
서부산IC,35.15593979,128.9516853,,,
서부산TG,35.17234652,128.8728313,,,
서부여IC,36.23948989,126.7899619,,,
서분당IC,37.36117875,127.0628657,,,
서산IC,36.80670491,126.5713469,,,
서상IC,35.66582256,127.6737114,,,
서서울TG,37.35581502,126.8634689,,,
서세종IC,36.49492331,127.1949753,,,
서수지IC,37.32415676,127.0566565,,,
서수지TG,37.32359857,127.0557174,,,
서순천IC,35.00316321,127.4829664,,,
서안동IC,36.58868153,128.6265794,,,
서안산IC,37.35151414,126.8015492,,,
서안성IC,37.03384705,127.159978,,,
서양양IC,37.99506928,128.5325616,,,
서여주IC,37.30432383,127.5823853,,,
서영암IC,34.75424828,126.5295707,,,
서영암TG,34.73706148,126.5709347,,,
서오산JC,37.17646754,126.998356,,,
서오산TG,37.18880797,127.010019,,,
서오창IC,36.72786253,127.4181886,,,
서용인IC,37.24081491,127.154111,,,
서용인JC,37.26879112,127.1862625,,,
서용인JCT,37.26891801,127.1863631,,,
서운JC,37.5267688,126.7520826,,,
서울TG,37.36519757,127.1035219,,,
서울산IC,35.5540589,129.1241981,,,
서울제물포선종점,0,0,,,도화IC?
서울주JC,35.51567745,129.1057524,,,
서원주IC,37.3942252,127.8588868,,,
서의성IC,36.40113523,128.4107439,,,
서이천IC,37.27754221,127.3912083,,,
서인천IC,37.52353146,126.6905805,,,
서전주IC,35.82747267,127.0339975,,,
서종IC,37.63428646,127.3701723,,,
서진주IC,35.18341859,128.0408792,,,
서창JC,37.43293033,126.7385174,,,
서천IC,36.09880683,126.6898032,,,
서천안IC,36.76151712,127.1379914,,,
서청주IC,36.65172535,127.4211227,,,
서초IC,37.48358055,127.0257833,,,
서충주IC,37.00992209,127.6713343,,,
서판교IC남측,37.38836766,127.0700431,,서판교IC,
서판교IC북측,37.38836766,127.0700431,,서판교IC,
서평택IC,36.99805223,126.8691531,,,
서평택JC,37.05425965,126.8885646,,,
서포항IC,36.07101141,129.2193955,,,
서하남IC,37.51233551,127.151574,,,
서함양IC,35.54209424,127.7127096,,서함양하이패스ic,
서해안선시점,0,0,,,금천IC/죽림JC
서해안선종점,0,0,,,금천IC/죽림JC
서호학산IC,34.73629805,126.574293,,,
석곡IC,35.12766333,127.247014,,,
석수IC,37.42402086,126.9062893,,,
선단IC,37.84630209,127.1705245,,,
선동IC,37.58097442,127.1884979,,,
선산IC,36.23892828,128.2614311,,,
선운산IC,35.50970886,126.6832359,,,
설악IC,37.66963091,127.4956174,,,
성남IC,37.42725163,127.1234386,,,
성남TG,37.43552694,127.1230715,,,
성서IC,35.84971271,128.5219939,,,
성주IC,35.91912524,128.2494994,,,
세곡터널남측,37.45694541,127.0952516,,세곡터널,
세곡터널북측,37.45694541,127.0952516,,세곡터널,
소양IC,35.86447013,127.236547,,,
소하IC,37.4383585,126.8983752,,,
소흘IC,37.79887851,127.1318924,,,
소흘JC,37.81519758,127.1427104,,,
속리산IC,36.45563828,127.7869169,,,
속사IC,37.63060491,128.4896613,,,
속초IC,38.20424495,128.5174756,,,
송내IC,37.4876872,126.7471236,,,
송도IC,37.40325331,126.652675,,,
송산마도IC,37.20969273,126.7598019,,,
송악IC,36.93459359,126.7788252,,,
송추IC,37.71072251,126.9711714,,,
송탄IC,37.03478517,127.1080261,,,
송파IC,37.47476174,127.1287929,,,
수동IC,37.69293168,127.3285851,,,
수동휴게소IC,37.73031057,127.292544,,,
수성IC,35.83588123,128.6923422,,,
수원신갈IC,37.26700987,127.1038022,,,
순창IC,35.36404568,127.1325542,,,
순천IC,34.98730437,127.5150078,,,
순천JC,34.99108333,127.539001,,,
순천만IC,34.89707994,127.4797495,,,
순천완주선시점,0,0,,,완주JC 동순천IC
순천완주선종점,0,0,,,완주JC 동순천IC
승주IC,35.01455258,127.3749267,,,
시점,37.63771427,126.4824338,,,
시점(영암군학산면은곡리),0,0,,,서명암IC
시화IC,37.30912879,126.7238301,,,
시흥IC,37.45579475,126.7974312,,,
시흥TG,37.45109443,126.8034563,,,
신갈JC,37.29001534,127.1036488,,,
신공항IC,0,0,,,
신녕IC,36.04265189,128.8109944,,,
신둔Hi,37.2761303,127.4411821,,,
신림IC,37.22567663,128.0876563,,,
신북IC,37.9140812,127.217047,,,
신불IC,37.45807016,126.4896014,,,
신양IC,36.59523227,126.868263,,,
신월IC,37.52555125,126.8348646,,,
신월천교,37.41571123,127.3015086,,,
신천IC,37.43065308,126.7813647,,,
신탄진IC,36.43956433,127.4198797,,,
신평JC,37.38638711,127.8933449,,,
심곡터널남측,36.96394423,128.3444759,,심곡터널,
심곡터널북측,36.96394423,128.3444759,,심곡터널,
아산IC,36.82127113,126.9766755,,,
아산현충사IC,36.78838095,127.0464878,,,
안녕IC,37.19559073,127.0136467,,,
안동JC,36.4321548,128.6215449,,,
안산IC,37.34880715,126.8420197,,,
안산JC,37.34420591,126.860163,,,
안성IC,36.99501487,127.1539742,,,
안성JC,37.03597841,127.1389855,,,
안영IC,36.28392254,127.3772769,,,
안현JC,37.43729398,126.8165772,,,
양산IC,35.37890015,129.0518572,,,
양산JC,35.33077636,129.034607,,,
양양IC,38.06705649,128.600498,,,
양양JC,38.06705649,128.600498,,,
양재IC,37.46311128,127.0400426,,,
양주IC,37.84286997,127.0855219,,,
양주TG,37.67946975,126.918085,,,
양지IC,37.23938788,127.2943697,,,
양촌Hi,36.15893647,127.216331,,,
양평IC,37.52187992,127.4470052,,,
어연IC,37.05685233,126.9872011,,,
언양JC,35.56657203,129.1299897,,,
